time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
2021,Reporting year,National,E92000001,England,Age group,16 years and over,3560,87
2021,Reporting year,National,E92000001,England,Age group,Total,4070,100
2021,Reporting year,National,E92000001,England,Age group,Under 16 years,510,13
2021,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,320,8
2021,Reporting year,National,E92000001,England,Category of need,N2. Child's disability,0,0
2021,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,c,c
2021,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,180,4
2021,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,40,1
2021,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,c,c
2021,Reporting year,National,E92000001,England,Category of need,N7. Low income,10,~
2021,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,3520,87
2021,Reporting year,National,E92000001,England,Category of need,Total,4070,100
2021,Reporting year,National,E92000001,England,Ethnicity,1. Total White,250,6
2021,Reporting year,National,E92000001,England,Ethnicity,1a. White British,c,c
2021,Reporting year,National,E92000001,England,Ethnicity,1b. White Irish,0,0
2021,Reporting year,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,0,0
2021,Reporting year,National,E92000001,England,Ethnicity,1d. Gypsy Roma,0,0
2021,Reporting year,National,E92000001,England,Ethnicity,1e. Any other White background,250,6
2021,Reporting year,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,70,2
2021,Reporting year,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,0,0
2021,Reporting year,National,E92000001,England,Ethnicity,2b. White and Black African,20,~
2021,Reporting year,National,E92000001,England,Ethnicity,2c. White and Asian,20,~
2021,Reporting year,National,E92000001,England,Ethnicity,2d. Any other Mixed background,40,1
2021,Reporting year,National,E92000001,England,Ethnicity,3. Total Asian or Asian British,1020,25
2021,Reporting year,National,E92000001,England,Ethnicity,3a. Indian,c,c
2021,Reporting year,National,E92000001,England,Ethnicity,3b. Pakistani,30,1
2021,Reporting year,National,E92000001,England,Ethnicity,3c. Bangladeshi,c,c
2021,Reporting year,National,E92000001,England,Ethnicity,3d. Chinese,10,~
2021,Reporting year,National,E92000001,England,Ethnicity,3e. Any other Asian background,980,24
2021,Reporting year,National,E92000001,England,Ethnicity,"4. Total Black, African, Caribbean or Black British",1100,27
2021,Reporting year,National,E92000001,England,Ethnicity,4a. Caribbean,c,c
2021,Reporting year,National,E92000001,England,Ethnicity,4b. African,960,24
2021,Reporting year,National,E92000001,England,Ethnicity,4c. Any other Black background,140,3
2021,Reporting year,National,E92000001,England,Ethnicity,5. Total other ethnic group,1560,38
2021,Reporting year,National,E92000001,England,Ethnicity,6. Total refused or information not yet available,60,2
2021,Reporting year,National,E92000001,England,Ethnicity,6a. Refused,c,c
2021,Reporting year,National,E92000001,England,Ethnicity,6b. Information not yet obtained,60,1
2021,Reporting year,National,E92000001,England,Ethnicity,Total,4070,100
2021,Reporting year,National,E92000001,England,Gender,Female,330,8
2021,Reporting year,National,E92000001,England,Gender,Male,3740,92
2021,Reporting year,National,E92000001,England,Gender,Total,4070,100
2020,Reporting year,National,E92000001,England,Age group,16 years and over,4380,86
2020,Reporting year,National,E92000001,England,Age group,Total,5060,100
2020,Reporting year,National,E92000001,England,Age group,Under 16 years,690,14
2020,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,390,8
2020,Reporting year,National,E92000001,England,Category of need,N2. Child's disability,0,0
2020,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,c,c
2020,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,170,3
2020,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,50,1
2020,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,c,c
2020,Reporting year,National,E92000001,England,Category of need,N7. Low income,20,~
2020,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,4430,87
2020,Reporting year,National,E92000001,England,Category of need,Total,5060,100
2020,Reporting year,National,E92000001,England,Ethnicity,1. Total White,370,7
