time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,reason_for_change,number,percentage
2021,Reporting year,National,E92000001,England,Age,1 to 4 years,All Placements,7990,15
2021,Reporting year,National,E92000001,England,Age,1 to 4 years,Allegation (s47),90,1
2021,Reporting year,National,E92000001,England,Age,1 to 4 years,Approval removed,60,1
2021,Reporting year,National,E92000001,England,Age,1 to 4 years,Carer requests placement end other than due to childs behaviour,430,5
2021,Reporting year,National,E92000001,England,Age,1 to 4 years,Carer requests placement ends due to childs behaviour,220,3
2021,Reporting year,National,E92000001,England,Age,1 to 4 years,Change in the status of a placement only,1670,21
2021,Reporting year,National,E92000001,England,Age,1 to 4 years,Change to/Implementation of care plan,3760,47
2021,Reporting year,National,E92000001,England,Age,1 to 4 years,Child requests placement to end,c,c
2021,Reporting year,National,E92000001,England,Age,1 to 4 years,Custody,c,c
2021,Reporting year,National,E92000001,England,Age,1 to 4 years,Other,1530,19
2021,Reporting year,National,E92000001,England,Age,1 to 4 years,Resignation or closure of provision,30,~
2021,Reporting year,National,E92000001,England,Age,1 to 4 years,Responsible/Area authority requests placement to end,110,1
2021,Reporting year,National,E92000001,England,Age,1 to 4 years,Standards of care concern,90,1
2021,Reporting year,National,E92000001,England,Age,10 to 15 years,All Placements,16890,32
2021,Reporting year,National,E92000001,England,Age,10 to 15 years,Allegation (s47),230,1
2021,Reporting year,National,E92000001,England,Age,10 to 15 years,Approval removed,110,1
2021,Reporting year,National,E92000001,England,Age,10 to 15 years,Carer requests placement end other than due to childs behaviour,1070,6
2021,Reporting year,National,E92000001,England,Age,10 to 15 years,Carer requests placement ends due to childs behaviour,2580,15
2021,Reporting year,National,E92000001,England,Age,10 to 15 years,Change in the status of a placement only,3380,20
2021,Reporting year,National,E92000001,England,Age,10 to 15 years,Change to/Implementation of care plan,4540,27
2021,Reporting year,National,E92000001,England,Age,10 to 15 years,Child requests placement to end,630,4
2021,Reporting year,National,E92000001,England,Age,10 to 15 years,Custody,50,~
2021,Reporting year,National,E92000001,England,Age,10 to 15 years,Other,3640,22
2021,Reporting year,National,E92000001,England,Age,10 to 15 years,Resignation or closure of provision,140,1
2021,Reporting year,National,E92000001,England,Age,10 to 15 years,Responsible/Area authority requests placement to end,280,2
2021,Reporting year,National,E92000001,England,Age,10 to 15 years,Standards of care concern,250,1
2021,Reporting year,National,E92000001,England,Age,16 years and over,All Placements,14220,27
2021,Reporting year,National,E92000001,England,Age,16 years and over,Allegation (s47),70,~
2021,Reporting year,National,E92000001,England,Age,16 years and over,Approval removed,40,~
2021,Reporting year,National,E92000001,England,Age,16 years and over,Carer requests placement end other than due to childs behaviour,630,4
2021,Reporting year,National,E92000001,England,Age,16 years and over,Carer requests placement ends due to childs behaviour,1700,12
2021,Reporting year,National,E92000001,England,Age,16 years and over,Change in the status of a placement only,1460,10
2021,Reporting year,National,E92000001,England,Age,16 years and over,Change to/Implementation of care plan,4560,32
2021,Reporting year,National,E92000001,England,Age,16 years and over,Child requests placement to end,1340,9
2021,Reporting year,National,E92000001,England,Age,16 years and over,Custody,150,1
2021,Reporting year,National,E92000001,England,Age,16 years and over,Other,3850,27
