var_name,label
LSOA_code,LSOA_code - (LSOA_code)
LA_name,LA_name - (LA_name)
MSOA11CD,MSOA11CD - (MSOA11CD)
ImdS2015IW,(IMD2015) IMD Score 2015 (Higher = More Deprived) including Wales - (ImdS2015IW)
WhtPrcntOP,(Census2011) White (All Categories) % of Population - (WhtPrcntOP)
WhtBrtsPOP,(Census2011) White British % of Population - (WhtBrtsPOP)
WhtIrshPOP,(Census2011) White Irish % of Population - (WhtIrshPOP)
WhtTrvlPOP,(Census2011) White Traveller % of Population - (WhtTrvlPOP)
WhtOthrPOP,(Census2011) White Other % of Population - (WhtOthrPOP)
MxdHrtgPOP,(Census2011) Mixed Heritage (All Categories) % of Population - (MxdHrtgPOP)
MxdHWBCPOP,(Census2011) Mixed Heritage White/Black Caribbean % of Population - (MxdHWBCPOP)
MxdHWBAPOP,(Census2011) Mixed Heritage White/Black African % of Population - (MxdHWBAPOP)
MxdHrWAPOP,(Census2011) Mixed Heritage White/Asian % of Population - (MxdHrWAPOP)
MxdHrtOPOP,(Census2011) Mixed Heritage Other % of Population - (MxdHrtOPOP)
AsnBrtAPOP,(Census2011) Asian/British Asian (All Categories) % of Population - (AsnBrtAPOP)
AsnBrAIPOP,(Census2011) Asian/British Asian Indian % of Population - (AsnBrAIPOP)
AsnBrAPPOP,(Census2011) Asian/British Asian Pakistani % of Population - (AsnBrAPPOP)
AsnBrABPOP,(Census2011) Asian/British Asian Bangladeshi % of Population - (AsnBrABPOP)
AsnBrACPOP,(Census2011) Asian/British Asian Chinese % of Population - (AsnBrACPOP)
AsnBrAOPOP,(Census2011) Asian/British Asian Other % of Population - (AsnBrAOPOP)
BlckBlBPOP,(Census2011) Black/Black British (All Categories) % of Population - (BlckBlBPOP)
BlckBBAPOP,(Census2011) Black/Black British African % of Population - (BlckBBAPOP)
BlckBBCPOP,(Census2011) Black/Black British Caribbean % of Population - (BlckBBCPOP)
BlckBBOPOP,(Census2011) Black/Black British Other % of Population - (BlckBBOPOP)
OtherAllPc,OtherAll_pc - (OtherAllPc)
OthrEGAPOP,(Census2011) Other Ethnic Group Arab % of Population - (OthrEGAPOP)
OthrEGOPOP,(Census2011) Other Ethnic Group Other % of Population - (OthrEGOPOP)
IndxOfMlDS,(IMD2019 England Only) Index of Multiple Deprivation (IMD) Score (Higher Score = More Deprived) - (IndxOfMlDS)
IncomeScor,(IMD2019 England Only) Income Score (rate) (Higher Score = More Deprived) - (IncomeScor)
EmplymntSc,(IMD2019 England Only) Employment Score (rate) (Higher Score = More Deprived) - (EmplymntSc)
EdctnSkATS,"(IMD2019 England Only) Education, Skills and Training Score (Higher Score = More Deprived) - (EdctnSkATS)"
HlthDprADS,(IMD2019 England Only) Health Deprivation and Disability Score (Higher Score = More Deprived) - (HlthDprADS)
CrimeScore,(IMD2019 England Only) Crime Score (Higher Score = More Deprived) - (CrimeScore)
BrrrsHsASS,(IMD2019 England Only) Barriers to Housing and Services Score (Higher Score = More Deprived) - (BrrrsHsASS)
LvngEnvrnS,(IMD2019 England Only) Living Environment Score (Higher Score = More Deprived) - (LvngEnvrnS)
