new_la_code,time_period,old_la_code,la_name,population_0_16,population_0_16_lower,population_0_16_upper,population_5_16,population_5_16_lower,population_5_16_upper,referrals_n,rereferrals_n,referrals_nfa_n,referrals_nin_n,children_referred_n,children_rereferred_n,pc_referrals_rereferral,pc_referalls_nfa,pc_referrals_nin,pc_children_rereferrred,referrals_rate_10000,children_referred_rate_10000,referrals_not_reref_rate_10000,send_statem_n,ehcp_n,sendst_or_ehcp_n,send_statem_rate_10000,ehcp_rate_10000,send_or_ehcp_rate_10000,anypoint_episodes,started_episodes,at31_episodes,any_cin_ep_rate_10000,start_cin_ep_rate_10000,at31_cin_ep_rate_10000,cpp_start,at31_cpp,cpp_start_rate10000,at31_cpp_rate10000,at31_cla,cla_start,cla_cease,at_31_cla_rate10000,cla_start_rate10000,cla_cease_rate10000,rel_pov_chil,rel_pov_rate100,clif1116_pov_chil,clif_11_16_cpov_rate,median_gppa,mean_gppa,njobs,cpih,median_gppa_adj,mean_gppa_adj,mm_ginc_ratio,gspend_cla,gspend_fss,gspend_oth,gspend_saf,gspend_yps,gspend_ss5,gspend_yjs,gspend_noncla_nonsg,sppi,gspend_pc_cla,gspend_pc_sg,gspend_pc_ncnsg,gspend_cla_pc,gspend_fss_pc,gspend_oth_pc,gspend_saf_pc,gspend_yps_pc,gspend_ss5_pc,gspend_yjs_pc,gspend_noncla_nonsg_pc,gspend_cla_percla,gspend_saf_percpp,imd19_imd,imd19_income_dep,imd19_employ_dep,imd19_edu_dep,imd19_health_dep,imd19_crime_dep,imd19_idaci,imd15_imd,imd15_income_dep,imd15_employ_dep,imd15_edu_dep,imd15_health_dep,imd15_crime_dep,imd15_idaci,n_households,tempacc_hh,rej_not_hl,hl_apps,rej_not_priority,acc_hl,rej_int_hl,homeless_any,waitlist_n,tempacc_hh_rate,rej_not_hl_rate,hl_apps_rate,rej_not_priority_rate,acc_hl_rate,rej_int_hl_rate,homeless_any_rate,waitlist_n_rate,n_lab,n_con,n_ld,n_ind,n_noc,majority
E06000001,2010,805,Hartlepool,19341,NA,NA,13707,NA,NA,983,NA,NA,NA,NA,NA,NA,NA,NA,NA,508.24672974510105,NA,NA,332,NA,332,242.2120084628292,NA,242.2120084628292,1725,918,804,891.8876997052893,474.6393671475105,415.69722351481306,117,134,60.4932526756631,69.28287058580219,165,100,85,85.31099736311464,51.703634765524015,43.948089550695414,NA,NA,NA,NA,20146,22777,31,1.337402885682575,26943.318534961156,30462.02552719201,1.1305966444951852,7082803.614495799,3788717.4327731095,697663.2153361345,4090584.5829831935,3177039.356092437,5265414.915966387,1610693.4663865548,12928834.920168068,1.217436974789916,29.4,17,53.6,366.20669119982415,195.89046237387464,36.07172407508063,211.4980912560464,164.26448250309898,272.2410897040684,83.27870670526626,668.4677586561227,42926.08251209575,30526.75061927756,35.037,0.228,0.185,30.255,0.869,0.566,0.283,33.178,0.239,0.211,30.51,0.929,0.078,0.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,1,5,No Dominant Majority Over Time
E06000001,2011,805,Hartlepool,19060.2789,18352.825,19734,13306.679,12834.825,13759,846,170,NA,NA,NA,NA,20.094562647754138,NA,NA,NA,443.85499521730503,NA,354.6642751381775,298,NA,298,223.94768822483806,NA,223.94768822483806,1522,717,883,798.5192703554825,376.17497821608475,463.26709311687983,100,113,52.46512945831028,59.28559628789063,167,71,72,87.61676619537818,37.2502419154003,37.774893209983404,NA,NA,5480,28.750890943154033,19737,22833,32,1.2873931623931625,25409.278846153848,29395.048076923078,1.156862745098039,8234682.952182953,4725153.846153847,943344.0748440749,4044452.1829521833,3576996.8814968816,4790212.058212059,1546939.708939709,14035706.860706862,1.2047817047817049,31.3,15.4,53.3,432.03370713441933,247.90580824889435,49.492669010424336,212.19270736653192,187.66760445970607,251.31909576685462,81.16039209372266,736.3851774858794,49309.47875558655,35791.6122385149,35.037,0.228,0.185,30.255,0.869,0.566,0.283,33.178,0.239,0.211,30.51,0.929,0.078,0.307,40519,NA,NA,NA,NA,NA,NA,NA,2824,NA,NA,NA,NA,NA,NA,NA,696.9569831437103,6,0,0,1,5,No Dominant Majority Over Time
E06000001,2012,805,Hartlepool,18934.896,18191,19653,13157.9748,12650,13663,1196,205,NA,87,NA,NA,17.140468227424748,NA,7.274247491638795,NA,631.6380084685968,NA,523.3722963146986,326,NA,326,247.7584924391252,NA,247.7584924391252,1958,1105,926,1034.0695824260138,583.5785947807688,489.0441436805357,126,124,66.54380356776187,65.48755271747994,176,84,75,92.95007482481023,44.36253571184125,39.60940688557254,NA,NA,5315,28.069866346242407,20994,23831,31,1.2552083333333333,26351.84375,29912.869791666664,1.1351338477660282,7255148.033126295,4193276.3975155284,1509339.5445134577,5551442.028985508,2704333.3333333335,3293431.6770186336,1265781.5734989648,11700380.952380953,1.199792960662526,29.6,22.7,47.7,383.16281394554767,221.4575880171472,79.71205886282436,293.1857681703405,142.82271913895556,173.93450045981945,66.84914316397432,617.9268664787465,41222.4320063994,44769.69378214119,35.037,0.228,0.185,30.255,0.869,0.566,0.283,33.178,0.239,0.211,30.51,0.929,0.078,0.307,40777,NA,0,20,0,7,0,7,2180,NA,0,4.904725703215048,0,1.7166539961252667,0,1.7166539961252667,534.6151016504401,6,0,0,1,5,No Dominant Majority Over Time
E06000001,2013,805,Hartlepool,18917.7542,18151.95,19647.05,13213.0404,12676,13739.05,1278,272,12,107,1165,252,21.283255086071986,0.9389671361502347,8.37245696400626,21.630901287553648,675.5558754431855,615.8236266755174,531.7755952236656,352,NA,352,266.40348424273344,NA,266.40348424273344,2055,1159,1112,1086.2811612173289,612.6520028471456,587.8076161915668,144,136,76.11897188092232,71.89014010975997,192,85,68,101.49196250789642,44.93133756859998,35.945070054879984,NA,NA,5170,27.32882532113669,20852,23297,25,1.2270875763747453,25587.23014256619,28587.45926680244,1.1172549395741416,7887605.93654043,4392811.66837257,386728.76151484135,5701283.5209826,3326341.8628454455,2057017.4002047083,1140019.4472876152,10162899.692937564,1.1862845445240533,33.2,24,42.8,416.94198228563675,232.20576934933268,20.442635918952863,301.37211112419465,175.83175189185224,108.73475669774314,60.26188073041013,537.2149138578809,41081.28091948141,41921.20236016618,35.037,0.228,0.185,30.255,0.869,0.566,0.283,33.178,0.239,0.211,30.51,0.929,0.078,0.307,41019,NA,0,39,0,14,0,14,2563,NA,0,9.50778907335625,0,3.4130524878714743,0,3.4130524878714743,624.8323947438992,6,0,0,1,5,No Dominant Majority Over Time
E06000001,2014,805,Hartlepool,18794.284200000002,18039,19542.025,13150.9968,12612,13688,1246,198,21,129,1156,180,15.890850722311397,1.6853932584269662,10.353130016051363,15.570934256055363,662.9675207316487,615.0806211603418,557.6163416747736,360,NA,360,273.7435081727037,NA,273.7435081727037,2169,1096,1226,1154.074279668496,583.1560214461373,652.3259874935806,107,128,56.93220282366486,68.10581272363648,207,94,79,110.13986901400585,50.01520621892053,42.034056290369385,NA,NA,5475,29.131197239211694,20925,23737,31,1.209839357429719,25315.888554216872,28717.95682730924,1.134384707287933,8740937.562940584,3343942.5981873116,1279218.529707956,5555730.110775429,3152526.686807654,2243301.1077542803,1080799.597180262,10018988.922457201,1.1671701913393757,35.9,22.8,41.2,465.0848880395553,177.92338152401203,68.06423251319971,295.6074331777652,167.7385876078033,119.36081650581191,57.50682418542239,533.0870181508269,42226.751511790266,43404.14149043304,35.037,0.228,0.185,30.255,0.869,0.566,0.283,33.178,0.239,0.211,30.51,0.929,0.078,0.307,41249,5,5,54,0,27,0,27,2615,1.2121505975902447,1.2121505975902447,13.091226453974642,0,6.545613226987321,0,6.545613226987321,633.954762539698,6,0,0,1,5,No Dominant Majority Over Time
E06000001,2015,805,Hartlepool,18735.2154,17999.975,19476.05,13230.7084,12709,13742,1198,162,NA,400,1133,151,13.52253756260434,NA,33.3889816360601,13.327449249779347,639.4375375049063,604.7435141845233,552.9693563064131,283,102,385,213.8963322629044,77.09337770606447,290.98970996896884,1938,794,1191,1034.4156491523443,423.8008387136024,635.7012580704036,146,142,77.92811391962965,75.79309709991378,163,50,87,87.00193540342215,26.68771024644851,46.436615828820415,3593,19.1777885830979,4745,25.326637023879638,21855,24777,30,1.205,26335.275,29856.285000000003,1.1336993822923818,8611370,4250053,1252879,6725677,2633248,1483520,1114958,9619700,1.159,34.5,26.9,38.5,459.63549476991864,226.84836599209848,66.87294345172033,358.9858379744062,140.5507192620801,79.1835038096226,59.51135208191948,513.4555325155216,52830.490797546016,47363.92253521127,35.037,0.228,0.185,30.255,0.869,0.566,0.283,33.178,0.239,0.211,30.51,0.929,0.078,0.307,41502,NA,0,99,29,45,0,74,3034,NA,0,23.8542720832731,6.9876150546961595,10.842850946942315,0,17.830466001638477,731.0491060671775,6,0,0,1,5,No Dominant Majority Over Time
E06000001,2016,805,Hartlepool,18787.6413,18099.975,19508,13353.7616,12862.975,13865,922,97,NA,303,878,88,10.52060737527115,NA,32.86334056399132,10.022779043280181,490.74813877780394,467.3284879033751,439.11845389554037,79,361,440,59.159360760192094,270.33581309404235,329.49517385423445,1715,618,1053,912.8341193101234,328.9396418272048,560.4748266084897,144,127,76.64613013449433,67.59762866028318,208,106,63,110.71107686093625,56.42006801566943,33.53268193384126,3729,19.848154116078426,5025,26.746305828182916,22160,24872,31,1.193069306930693,26438.415841584156,29674.019801980197,1.1223826714801446,9312341.413385829,5791876.631889765,1116174.037401575,5881523.4566929145,1380462.541338583,513532.82283464575,1360986.5501968507,8802046.033464568,1.1407480314960632,38.8,24.5,36.7,495.66314710222986,308.2812014241386,59.4100142523785,313.05278628525417,73.4771608258554,27.333544143971164,72.44052238728077,468.5019206463436,44770.87217973956,46311.20832041665,35.037,0.228,0.185,30.255,0.869,0.566,0.283,33.178,0.239,0.211,30.51,0.929,0.078,0.307,41740,NA,5,119,40,46,6,92,3369,NA,1.1978917105893627,28.509822712026832,9.583133684714902,11.020603737422139,1.4374700527072353,22.041207474844278,807.1394345951126,6,0,0,1,5,No Dominant Majority Over Time
E06000001,2017,805,Hartlepool,18770.3626,18081.95,19482,13438.1057,12941.975,13941,1269,127,NA,355,1198,122,10.007880220646179,NA,27.97478329393223,10.18363939899833,676.0657889475189,638.2402010710224,608.4059345768845,20,483,503,14.883050071558822,359.4256592281455,374.30870929970433,1905,909,1319,1014.897815559514,484.2740757709177,702.7035268887134,160,152,85.24076141182269,80.97872334123157,257,128,78,136.91797301774022,68.19260912945816,41.55487118826356,4356,23.20679729436873,NA,NA,22971,25066,34,1.1631274131274132,26718.199806949808,29154.951737451738,1.0912019502851422,10701417.251694094,4710731.3775411425,1232214.467570184,7203996.187802517,1037635.9825750242,680359.9273959341,872353.3823814134,7660941.755082284,1.121974830590513,41.9,28.2,30,570.1230967000123,250.96645589260712,65.64681214896638,383.7963251600966,55.28055076437491,36.24649890332615,46.47504158398162,408.1403177092745,41639.75584316768,47394.71176185866,35.037,0.228,0.185,30.255,0.869,0.566,0.283,33.178,0.239,0.211,30.51,0.929,0.078,0.307,41996,7,15,162,73,30,8,111,2845,1.6668254119439947,3.5717687398799884,38.575102390703876,17.382607867415942,7.143537479759977,1.9049433279359937,26.431088675111916,677.4454709972379,6,0,0,1,5,No Dominant Majority Over Time
E06000001,2018,805,Hartlepool,18794.6454,18086,19513,13536.8162,13037,14051,1230,192,NA,215,1170,175,15.609756097560975,NA,17.479674796747968,14.957264957264957,654.4417166817097,622.5177305021141,552.2849609070038,5,504,509,3.6936307076401027,372.31797533012235,376.0116060377625,2201,1012,1365,1171.0782263548317,538.4512335625124,726.2706855857998,183,169,97.36815784776657,89.91922773919426,278,101,80,147.91446929879294,53.738710068985924,42.56531490612747,4807,25.57643359421934,NA,NA,22322,25985,34,1.1367924528301887,25375.48113207547,29539.551886792455,1.1640981990861035,11635917.1121673,4906337.851711026,1189040.3545627375,7661004.322243346,642523.3792775666,556996.4505703421,719906.4600760456,7294898.036121673,1.1017110266159695,43.8,28.8,27.4,619.108095126248,261.0497696174159,63.26484641007047,407.6163268418645,34.186512466873495,29.63591165015234,38.30380647011545,388.13704014451224,41855.816950242086,45331.38652214997,35.037,0.228,0.185,30.255,0.869,0.566,0.283,33.178,0.239,0.211,30.51,0.929,0.078,0.307,42204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,1,5,No Dominant Majority Over Time
E06000001,2019,805,Hartlepool,18886.1452,18211,19593,13684.0752,13189,14188,1263,208,0,275,1165,190,16.468725257323833,0,21.773555027711797,16.30901287553648,668.7441966717486,616.8543065103619,558.6105522475809,NA,585,585,NA,427.50422768796244,427.50422768796244,2287,988,1396,1210.9405999907276,523.1348110147961,739.1661904622019,158,129,83.6592106683581,68.30403908998858,285,111,106,150.9042724081143,58.773242937897145,56.125799562316196,4777,25.29367401030042,NA,NA,22890,25395,36,1.1178107606679035,25586.68831168831,28386.80426716141,1.1094364351245085,12850604.94183865,5208615.583489682,1128722.484052533,8382282.668855536,510991.79268292687,433271.3836772984,717451.4427767355,7281601.24390244,1.0872420262664166,45.1,29.4,25.5,680.4249785095717,275.7902964491495,59.76457726548312,443.8323744781723,27.056436730293004,22.941229090905136,37.98824138960531,385.55253953583076,45089.84190118824,64978.935417484776,35.037,0.228,0.185,30.255,0.869,0.566,0.283,33.178,0.239,0.211,30.51,0.929,0.078,0.307,42406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,1,5,No Dominant Majority Over Time
