,Year,Variables,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,
SOA,All usual residents,,Ethnic group: White,Ethnic group: Chinese,Ethnic group: Irish Traveller,Ethnic group: Indian,Ethnic group: Pakistani,Ethnic group: Bangladeshi,Ethnic group: Other Asian,Ethnic group: Black Caribbean,Ethnic group: Black African,Ethnic group: Black other,Ethnic group: Mixed,Ethnic group: Other,Ethnic group: White (%),Ethnic group: Chinese (%),Ethnic group: Irish Traveller (%),Ethnic group: Indian (%),Ethnic group: Pakistani (%),Ethnic group: Bangladeshi (%),Ethnic group: Other Asian (%),Ethnic group: Black Caribbean (%),Ethnic group: Black African (%),Ethnic group: Black other (%),Ethnic group: Mixed (%),Ethnic group: Other (%)
Northern Ireland,"1,810,863",,"1,778,449","6,303","1,301","6,198","1,091",540,"4,998",372,"2,345",899,"6,014","2,353",98.21,0.35,0.07,0.34,0.06,0.03,0.28,0.02,0.13,0.05,0.33,0.13
Abbey 1,"1,441",,"1,380",18,0,31,1,1,0,0,0,0,9,1,95.77,1.25,0.00,2.15,0.07,0.07,0.00,0.00,0.00,0.00,0.62,0.07
Abbey 2,"1,373",,"1,245",9,0,63,8,0,42,0,3,0,3,0,90.68,0.66,0.00,4.59,0.58,0.00,3.06,0.00,0.22,0.00,0.22,0.00
Abbey Park,"2,558",,"2,522",13,0,17,1,0,0,0,0,0,0,5,98.59,0.51,0.00,0.66,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.20
Academy,"2,099",,"2,054",6,2,20,1,0,9,0,1,0,3,3,97.86,0.29,0.10,0.95,0.05,0.00,0.43,0.00,0.05,0.00,0.14,0.14
Aghagallon 1,"2,488",,"2,462",0,0,0,11,0,1,0,0,0,14,0,98.95,0.00,0.00,0.00,0.44,0.00,0.04,0.00,0.00,0.00,0.56,0.00
Aghagallon 2,"2,443",,"2,435",1,0,0,3,0,1,2,0,0,1,0,99.67,0.04,0.00,0.00,0.12,0.00,0.04,0.08,0.00,0.00,0.04,0.00
Aghanloo 1,"2,491",,"2,467",11,0,0,0,0,0,0,0,2,11,0,99.04,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.44,0.00
Aghanloo 2,"1,876",,"1,864",1,7,0,0,0,0,0,1,0,1,2,99.36,0.05,0.37,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.11
Agivey,"2,499",,"2,477",0,0,0,0,0,10,1,1,0,8,2,99.12,0.00,0.00,0.00,0.00,0.00,0.40,0.04,0.04,0.00,0.32,0.08
