,Year,Variables,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,
SOA,All usual residents,,National identity: British,National identity: Irish,National identity: Northern Irish,National identity: English,National identity: Scottish,National identity: Welsh,National identity: Other,National identity: British (%),National identity: Irish (%),National identity: Northern Irish (%),National identity: English (%),National identity: Scottish (%),National identity: Welsh (%),National identity: Other (%)
Northern Ireland,"1,810,863",,"876,577","513,390","533,085","18,041","9,374","1,772","61,884",48.41,28.35,29.44,1.00,0.52,0.10,3.42
Abbey 1,"1,441",,947,212,422,13,4,1,48,65.72,14.71,29.29,0.90,0.28,0.07,3.33
Abbey 2,"1,373",,974,59,413,13,6,2,88,70.94,4.30,30.08,0.95,0.44,0.15,6.41
Abbey Park,"2,558",,318,"1,371",784,19,12,3,185,12.43,53.60,30.65,0.74,0.47,0.12,7.23
Academy,"2,099",,"1,545",169,550,21,18,3,120,73.61,8.05,26.20,1.00,0.86,0.14,5.72
Aghagallon 1,"2,488",,581,"1,162",926,19,4,0,21,23.35,46.70,37.22,0.76,0.16,0.00,0.84
Aghagallon 2,"2,443",,420,"1,326",789,8,5,3,51,17.19,54.28,32.30,0.33,0.20,0.12,2.09
Aghanloo 1,"2,491",,"1,484",441,745,30,19,7,32,59.57,17.70,29.91,1.20,0.76,0.28,1.28
Aghanloo 2,"1,876",,"1,028",346,651,20,11,0,14,54.80,18.44,34.70,1.07,0.59,0.00,0.75
Agivey,"2,499",,"1,678",358,748,23,4,3,30,67.15,14.33,29.93,0.92,0.16,0.12,1.20
Ahoghill 1,"1,453",,"1,264",31,321,23,17,0,10,86.99,2.13,22.09,1.58,1.17,0.00,0.69
Ahoghill 2,"2,435",,"2,015",120,605,13,10,1,23,82.75,4.93,24.85,0.53,0.41,0.04,0.94
Aldergrove 1,"1,113",,794,37,95,228,62,27,63,71.34,3.32,8.54,20.49,5.57,2.43,5.66
Aldergrove 2,"1,829",,852,550,558,24,7,1,31,46.58,30.07,30.51,1.31,0.38,0.05,1.69
Aldergrove 3,"1,502",,"1,045",162,444,16,9,1,53,69.57,10.79,29.56,1.07,0.60,0.07,3.53
Altmore,"2,592",,476,"1,502",656,11,4,1,50,18.36,57.95,25.31,0.42,0.15,0.04,1.93
Altnagelvin 1,"1,471",,760,426,357,16,11,1,15,51.67,28.96,24.27,1.09,0.75,0.07,1.02
Altnagelvin 2,"1,777",,565,781,479,16,9,1,109,31.80,43.95,26.96,0.90,0.51,0.06,6.13
Altnagelvin 3,"1,614",,"1,220",133,458,15,12,0,39,75.59,8.24,28.38,0.93,0.74,0.00,2.42
Andersonstown 1,"1,768",,170,"1,230",428,1,4,1,10,9.62,69.57,24.21,0.06,0.23,0.06,0.57
Andersonstown 2,"1,523",,158,"1,015",399,2,4,1,9,10.37,66.64,26.20,0.13,0.26,0.07,0.59
Andersonstown 3,"1,616",,156,"1,146",364,5,3,0,11,9.65,70.92,22.52,0.31,0.19,0.00,0.68
Annagh 1,"1,612",,"1,178",118,400,12,4,1,116,73.08,7.32,24.81,0.74,0.25,0.06,7.20
Annagh 2,"1,430",,681,112,304,25,7,1,438,47.62,7.83,21.26,1.75,0.49,0.07,30.63
Annalong 1,"1,656",,729,553,484,15,5,3,28,44.02,33.39,29.23,0.91,0.30,0.18,1.69
Annalong 2,"1,555",,912,234,501,30,11,2,32,58.65,15.05,32.22,1.93,0.71,0.13,2.06
Antiville,"1,483",,"1,048",115,449,24,18,0,7,70.67,7.75,30.28,1.62,1.21,0.00,0.47
Ardboe,"2,578",,194,"1,430","1,026",21,5,3,19,7.53,55.47,39.80,0.81,0.19,0.12,0.74
Ardeevin,"3,503",,"2,483",245,"1,030",43,17,2,213,70.88,6.99,29.40,1.23,0.49,0.06,6.08
Ardglass 1,"1,492",,362,625,572,21,11,1,28,24.26,41.89,38.34,1.41,0.74,0.07,1.88
Ardglass 2,"1,686",,436,675,685,15,3,4,10,25.86,40.04,40.63,0.89,0.18,0.24,0.59
Ardoyne 1,"1,745",,195,"1,113",505,5,2,2,10,11.17,63.78,28.94,0.29,0.11,0.11,0.57
Ardoyne 2,"2,018",,334,"1,146",590,10,9,1,19,16.55,56.79,29.24,0.50,0.45,0.05,0.94
Ardoyne 3,"2,224",,329,"1,440",469,12,4,0,28,14.79,64.75,21.09,0.54,0.18,0.00,1.26
Armoy and Moss-Side and Moyarget,"2,045",,"1,269",306,619,24,15,3,10,62.05,14.96,30.27,1.17,0.73,0.15,0.49
Artigarvan,"2,760",,"1,297",806,858,17,11,1,11,46.99,29.20,31.09,0.62,0.40,0.04,0.40
Atlantic,"2,374",,"1,336",384,801,43,19,4,79,56.28,16.18,33.74,1.81,0.80,0.17,3.33
Audley's Acre,"2,211",,557,"1,052",727,14,7,0,17,25.19,47.58,32.88,0.63,0.32,0.00,0.77
Augher,"2,166",,818,807,659,14,7,0,42,37.77,37.26,30.42,0.65,0.32,0.00,1.94
Aughnacloy,"2,651",,"1,352",658,636,21,11,3,194,51.00,24.82,23.99,0.79,0.41,0.11,7.32
Ballee,"1,926",,"1,537",80,452,9,14,2,23,79.80,4.15,23.47,0.47,0.73,0.10,1.19
Ballinamallard,"2,586",,"1,710",365,754,22,7,0,43,66.13,14.11,29.16,0.85,0.27,0.00,1.66
Ballinderry 1,"2,263",,"1,458",343,721,35,7,2,21,64.43,15.16,31.86,1.55,0.31,0.09,0.93
Ballinderry 2,"2,865",,"1,970",347,905,31,27,2,49,68.76,12.11,31.59,1.08,0.94,0.07,1.71
Balloo,"1,734",,"1,114",216,498,16,12,0,65,64.24,12.46,28.72,0.92,0.69,0.00,3.75
Ballybay,"2,436",,"1,822",144,590,30,20,4,176,74.79,5.91,24.22,1.23,0.82,0.16,7.22
Ballybot,"2,192",,284,"1,148",700,30,6,1,149,12.96,52.37,31.93,1.37,0.27,0.05,6.80
Ballycarry,"2,582",,"1,992",115,804,35,27,2,28,77.15,4.45,31.14,1.36,1.05,0.08,1.08
Ballyclare North 1,"1,786",,"1,357",89,625,16,10,2,15,75.98,4.98,34.99,0.90,0.56,0.11,0.84
Ballyclare North 2,"2,065",,"1,611",100,653,15,2,1,19,78.01,4.84,31.62,0.73,0.10,0.05,0.92
Ballyclare South 1,"1,627",,"1,234",60,481,29,5,2,24,75.85,3.69,29.56,1.78,0.31,0.12,1.48
Ballyclare South 2,"2,011",,"1,547",103,685,22,13,0,35,76.93,5.12,34.06,1.09,0.65,0.00,1.74
Ballycolman,"1,827",,183,"1,048",620,15,19,0,7,10.02,57.36,33.94,0.82,1.04,0.00,0.38
Ballycraigy,"1,822",,"1,370",96,468,16,9,1,48,75.19,5.27,25.69,0.88,0.49,0.05,2.63
Ballycrochan 1,"1,730",,"1,390",115,523,25,12,1,17,80.35,6.65,30.23,1.45,0.69,0.06,0.98
Ballycrochan 2,"1,930",,"1,533",116,577,20,14,2,35,79.43,6.01,29.90,1.04,0.73,0.10,1.81
Ballycrochan 3,"1,634",,"1,231",106,520,27,11,0,21,75.34,6.49,31.82,1.65,0.67,0.00,1.29
Ballydown 1,"2,129",,"1,406",298,653,21,16,1,39,66.04,14.00,30.67,0.99,0.75,0.05,1.83
Ballydown 2,"2,667",,"1,562",522,863,31,6,2,81,58.57,19.57,32.36,1.16,0.22,0.07,3.04
Ballyduff 1,"1,611",,"1,230",64,499,9,7,6,27,76.35,3.97,30.97,0.56,0.43,0.37,1.68
Ballyduff 2,"1,255",,919,100,374,4,7,1,30,73.23,7.97,29.80,0.32,0.56,0.08,2.39
Ballygawley,"2,515",,622,"1,152",752,8,5,1,89,24.73,45.81,29.90,0.32,0.20,0.04,3.54
Ballygowan 1,"1,574",,"1,155",152,547,13,6,0,15,73.38,9.66,34.75,0.83,0.38,0.00,0.95
Ballygowan 2,"2,035",,"1,581",105,669,17,18,2,18,77.69,5.16,32.87,0.84,0.88,0.10,0.88
Ballyhackamore 1,"2,003",,"1,233",288,749,17,18,2,100,61.56,14.38,37.39,0.85,0.90,0.10,4.99
Ballyhackamore 2,"1,833",,"1,203",276,608,23,14,5,73,65.63,15.06,33.17,1.25,0.76,0.27,3.98
Ballyhackamore 3,"2,103",,"1,322",265,729,34,14,3,131,62.86,12.60,34.66,1.62,0.67,0.14,6.23
Ballyhanwood 1,"1,550",,"1,191",75,465,9,12,2,36,76.84,4.84,30.00,0.58,0.77,0.13,2.32
Ballyhanwood 2,"1,534",,"1,189",77,490,20,6,0,25,77.51,5.02,31.94,1.30,0.39,0.00,1.63
Ballyhenry 1,"1,517",,931,242,515,6,6,2,39,61.37,15.95,33.95,0.40,0.40,0.13,2.57
Ballyhenry 2,"1,255",,798,156,372,14,0,0,46,63.59,12.43,29.64,1.12,0.00,0.00,3.67
Ballyhoe and Corkey,"1,895",,299,907,797,8,4,0,8,15.78,47.86,42.06,0.42,0.21,0.00,0.42
Ballyholme,"2,652",,"1,800",346,981,68,26,5,15,67.87,13.05,36.99,2.56,0.98,0.19,0.57
Ballykeel,"1,739",,"1,455",37,375,21,11,0,18,83.67,2.13,21.56,1.21,0.63,0.00,1.04
Ballykelly,"1,753",,942,344,539,14,10,1,22,53.74,19.62,30.75,0.80,0.57,0.06,1.25
Ballyloran,"1,096",,794,61,327,12,17,2,11,72.45,5.57,29.84,1.09,1.55,0.18,1.00
Ballylough and Bushmills,"1,781",,"1,338",104,497,21,16,8,13,75.13,5.84,27.91,1.18,0.90,0.45,0.73
Ballyloughan,"2,588",,"1,844",255,700,23,10,0,130,71.25,9.85,27.05,0.89,0.39,0.00,5.02
Ballymacarrett 1,"1,708",,587,779,370,7,7,2,67,34.37,45.61,21.66,0.41,0.41,0.12,3.92
