,Year,Variables,,,,,,,,
,2011,,,,,,,,,
SOA,All usual residents,,Religion or religion brought up in: Catholic,Religion or religion brought up in: Protestant and Other Christian (including Christian related),Religion or religion brought up in: Other religions,Religion or religion brought up in: None,Religion or religion brought up in: Catholic (%),Religion or religion brought up in: Protestant and Other Christian (including Christian related) (%),Religion or religion brought up in: Other religions (%),Religion or religion brought up in: None (%)
Northern Ireland,"1,810,863",,"817,385","875,717","16,592","101,169",45.14,48.36,0.92,5.59
Abbey 1,"1,441",,385,893,27,136,26.72,61.97,1.87,9.44
Abbey 2,"1,373",,230,947,31,165,16.75,68.97,2.26,12.02
Abbey Park,"2,558",,"2,244",250,18,46,87.72,9.77,0.70,1.80
Academy,"2,099",,334,"1,648",21,96,15.91,78.51,1.00,4.57
Aghagallon 1,"2,488",,"2,013",367,23,85,80.91,14.75,0.92,3.42
Aghagallon 2,"2,443",,"2,130",228,6,79,87.19,9.33,0.25,3.23
Aghanloo 1,"2,491",,"1,029","1,371",11,80,41.31,55.04,0.44,3.21
Aghanloo 2,"1,876",,790,"1,020",5,61,42.11,54.37,0.27,3.25
Agivey,"2,499",,588,"1,792",16,103,23.53,71.71,0.64,4.12
Ahoghill 1,"1,453",,54,"1,326",13,60,3.72,91.26,0.89,4.13
Ahoghill 2,"2,435",,175,"2,139",14,107,7.19,87.84,0.57,4.39
Aldergrove 1,"1,113",,161,516,24,412,14.47,46.36,2.16,37.02
Aldergrove 2,"1,829",,"1,003",736,8,82,54.84,40.24,0.44,4.48
Aldergrove 3,"1,502",,321,"1,032",15,134,21.37,68.71,1.00,8.92
Altmore,"2,592",,"2,087",467,11,27,80.52,18.02,0.42,1.04
Altnagelvin 1,"1,471",,647,778,15,31,43.98,52.89,1.02,2.11
Altnagelvin 2,"1,777",,"1,139",544,34,60,64.10,30.61,1.91,3.38
Altnagelvin 3,"1,614",,183,"1,356",20,55,11.34,84.01,1.24,3.41
Andersonstown 1,"1,768",,"1,680",68,4,16,95.02,3.85,0.23,0.90
Andersonstown 2,"1,523",,"1,443",55,1,24,94.75,3.61,0.07,1.58
Andersonstown 3,"1,616",,"1,516",53,8,39,93.81,3.28,0.50,2.41
Annagh 1,"1,612",,279,"1,235",11,87,17.31,76.61,0.68,5.40
Annagh 2,"1,430",,509,738,38,145,35.59,51.61,2.66,10.14
Annalong 1,"1,656",,887,715,10,44,53.56,43.18,0.60,2.66
Annalong 2,"1,555",,495,977,12,71,31.83,62.83,0.77,4.57
Antiville,"1,483",,357,"1,028",4,94,24.07,69.32,0.27,6.34
Ardboe,"2,578",,"2,449",118,4,7,95.00,4.58,0.16,0.27
Ardeevin,"3,503",,590,"2,601",46,266,16.84,74.25,1.31,7.59
