,,All HRPs,White: Total,White: Scottish	,White: Other British	,White: Irish	,White: Other (1)	,Mixed or multiple ethnic groups	,Asian Asian Scottish or Asian British	,African,Caribbean or Black,Other ethnic groups
S92000003,All households,2372777,2300581,2001047,205040,28594,65900,4802,46470,12405,3024,5495
S92000003,One person household,823314,801150,711932,61820,10324,17074,1884,11766,5026,1597,1891
S92000003,One family household: Total,1418008,1380228,1199466,129074,15380,36308,2289,25622,5580,1261,3028
S92000003,One family household: All aged 65 and over,178972,178103,158681,16317,1951,1154,75,679,28,34,53
S92000003,One family household: Couple family,975676,945213,804440,98780,11367,30626,1772,21495,3724,855,2617
S92000003,One family household: Lone parent,263360,256912,236345,13977,2062,4528,442,3448,1828,372,358
S92000003,Other household types,131455,119203,89649,14146,2890,12518,629,9082,1799,166,576
S01006506,All households,424,413,325,66,0,22,1,6,3,1,0
S01006506,One person household,165,160,132,23,0,5,1,2,2,0,0
S01006506,One family household: Total,248,243,187,41,0,15,0,3,1,1,0
S01006506,One family household: All aged 65 and over,27,27,26,1,0,0,0,0,0,0,0
S01006506,One family household: Couple family,191,187,139,34,0,14,0,3,0,1,0
S01006506,One family household: Lone parent,30,29,22,6,0,1,0,0,1,0,0
S01006506,Other household types,11,10,6,2,0,2,0,1,0,0,0
S01006507,All households,364,358,311,32,4,11,0,5,0,1,0
S01006507,One person household,99,99,92,5,2,0,0,0,0,0,0
S01006507,One family household: Total,253,249,210,26,2,11,0,3,0,1,0
S01006507,One family household: All aged 65 and over,32,32,31,1,0,0,0,0,0,0,0
S01006507,One family household: Couple family,179,176,141,23,2,10,0,3,0,0,0
S01006507,One family household: Lone parent,42,41,38,2,0,1,0,0,0,1,0
S01006507,Other household types,12,10,9,1,0,0,0,2,0,0,0
S01006508,All households,340,326,260,53,1,12,1,6,6,1,0
S01006508,One person household,151,144,110,30,1,3,1,1,5,0,0
S01006508,One family household: Total,181,175,145,21,0,9,0,4,1,1,0
S01006508,One family household: All aged 65 and over,8,8,7,1,0,0,0,0,0,0,0
S01006508,One family household: Couple family,146,142,118,16,0,8,0,2,1,1,0
S01006508,One family household: Lone parent,27,25,20,4,0,1,0,2,0,0,0
S01006508,Other household types,8,7,5,2,0,0,0,1,0,0,0
S01006509,All households,274,265,234,26,0,5,2,6,0,1,0
S01006509,One person household,87,84,76,8,0,0,1,1,0,1,0
S01006509,One family household: Total,182,177,156,17,0,4,1,4,0,0,0
S01006509,One family household: All aged 65 and over,23,23,22,1,0,0,0,0,0,0,0
S01006509,One family household: Couple family,121,117,103,11,0,3,0,4,0,0,0
S01006509,One family household: Lone parent,38,37,31,5,0,1,1,0,0,0,0
S01006509,Other household types,5,4,2,1,0,1,0,1,0,0,0
S01006510,All households,256,253,229,18,2,4,0,1,1,0,1
S01006510,One person household,81,81,79,2,0,0,0,0,0,0,0
S01006510,One family household: Total,171,168,146,16,2,4,0,1,1,0,1
S01006510,One family household: All aged 65 and over,29,28,26,1,1,0,0,0,0,0,1
S01006510,One family household: Couple family,115,114,96,13,1,4,0,1,0,0,0
S01006510,One family household: Lone parent,27,26,24,2,0,0,0,0,1,0,0
S01006510,Other household types,4,4,4,0,0,0,0,0,0,0,0
S01006511,All households,315,308,256,42,0,10,1,5,1,0,0
S01006511,One person household,77,76,68,8,0,0,1,0,0,0,0
S01006511,One family household: Total,233,227,183,34,0,10,0,5,1,0,0
S01006511,One family household: All aged 65 and over,56,55,46,8,0,1,0,1,0,0,0
S01006511,One family household: Couple family,160,155,122,24,0,9,0,4,1,0,0
S01006511,One family household: Lone parent,17,17,15,2,0,0,0,0,0,0,0
S01006511,Other household types,5,5,5,0,0,0,0,0,0,0,0
S01006512,All households,170,163,108,44,0,11,1,3,2,1,0
S01006512,One person household,22,22,15,4,0,3,0,0,0,0,0
S01006512,One family household: Total,142,138,90,40,0,8,1,2,0,1,0
S01006512,One family household: All aged 65 and over,15,15,11,4,0,0,0,0,0,0,0
S01006512,One family household: Couple family,116,112,71,33,0,8,1,2,0,1,0
S01006512,One family household: Lone parent,11,11,8,3,0,0,0,0,0,0,0
S01006512,Other household types,6,3,3,0,0,0,0,1,2,0,0
S01006513,All households,230,221,174,36,0,11,0,4,2,1,2
S01006513,One person household,57,57,43,12,0,2,0,0,0,0,0
S01006513,One family household: Total,167,160,128,23,0,9,0,2,2,1,2
S01006513,One family household: All aged 65 and over,32,32,28,3,0,1,0,0,0,0,0
S01006513,One family household: Couple family,119,112,86,18,0,8,0,2,2,1,2
S01006513,One family household: Lone parent,16,16,14,2,0,0,0,0,0,0,0
S01006513,Other household types,6,4,3,1,0,0,0,2,0,0,0
S01006514,All households,339,329,230,62,5,32,0,7,1,0,2
S01006514,One person household,51,50,41,5,0,4,0,1,0,0,0
S01006514,One family household: Total,278,270,184,56,5,25,0,6,0,0,2
S01006514,One family household: All aged 65 and over,42,42,36,5,0,1,0,0,0,0,0
S01006514,One family household: Couple family,220,212,135,50,5,22,0,6,0,0,2
S01006514,One family household: Lone parent,16,16,13,1,0,2,0,0,0,0,0
S01006514,Other household types,10,9,5,1,0,3,0,0,1,0,0
S01006515,All households,271,259,189,51,6,13,0,7,2,2,1
S01006515,One person household,40,39,34,5,0,0,0,1,0,0,0
S01006515,One family household: Total,227,216,152,46,6,12,0,6,2,2,1
S01006515,One family household: All aged 65 and over,29,29,22,5,1,1,0,0,0,0,0
S01006515,One family household: Couple family,180,171,116,41,4,10,0,6,1,1,1
S01006515,One family household: Lone parent,18,16,14,0,1,1,0,0,1,1,0
S01006515,Other household types,4,4,3,0,0,1,0,0,0,0,0
S01006516,All households,185,178,118,36,6,18,1,3,1,0,2
S01006516,One person household,40,40,29,4,0,7,0,0,0,0,0
S01006516,One family household: Total,135,128,84,30,6,8,1,3,1,0,2
S01006516,One family household: All aged 65 and over,16,15,14,0,0,1,0,1,0,0,0
S01006516,One family household: Couple family,110,104,66,25,6,7,1,2,1,0,2
S01006516,One family household: Lone parent,9,9,4,5,0,0,0,0,0,0,0
S01006516,Other household types,10,10,5,2,0,3,0,0,0,0,0
S01006517,All households,403,386,291,70,2,23,2,9,2,2,2
S01006517,One person household,86,84,75,8,0,1,0,2,0,0,0
S01006517,One family household: Total,303,288,204,61,2,21,2,7,2,2,2
S01006517,One family household: All aged 65 and over,46,45,35,8,1,1,0,1,0,0,0
S01006517,One family household: Couple family,223,212,144,51,1,16,1,4,2,2,2
S01006517,One family household: Lone parent,34,31,25,2,0,4,1,2,0,0,0
S01006517,Other household types,14,14,12,1,0,1,0,0,0,0,0
S01006518,All households,247,240,165,60,1,14,1,4,0,1,1
S01006518,One person household,46,45,35,8,0,2,1,0,0,0,0
S01006518,One family household: Total,196,192,129,50,1,12,0,2,0,1,1
S01006518,One family household: All aged 65 and over,43,43,37,5,0,1,0,0,0,0,0
S01006518,One family household: Couple family,141,137,88,37,1,11,0,2,0,1,1
S01006518,One family household: Lone parent,12,12,4,8,0,0,0,0,0,0,0
S01006518,Other household types,5,3,1,2,0,0,0,2,0,0,0
S01006519,All households,281,265,191,55,4,15,0,8,3,0,5
S01006519,One person household,30,30,23,5,0,2,0,0,0,0,0
S01006519,One family household: Total,242,227,163,49,3,12,0,8,2,0,5
S01006519,One family household: All aged 65 and over,30,29,24,5,0,0,0,1,0,0,0
S01006519,One family household: Couple family,191,177,126,39,2,10,0,7,2,0,5
S01006519,One family household: Lone parent,21,21,13,5,1,2,0,0,0,0,0
S01006519,Other household types,9,8,5,1,1,1,0,0,1,0,0
S01006520,All households,222,199,121,52,2,24,0,15,4,0,4
S01006520,One person household,16,15,14,0,0,1,0,0,0,0,1
S01006520,One family household: Total,197,178,102,51,2,23,0,14,2,0,3
S01006520,One family household: All aged 65 and over,11,10,9,1,0,0,0,1,0,0,0
S01006520,One family household: Couple family,176,159,86,49,1,23,0,12,2,0,3
S01006520,One family household: Lone parent,10,9,7,1,1,0,0,1,0,0,0
S01006520,Other household types,9,6,5,1,0,0,0,1,2,0,0
S01006521,All households,243,232,143,59,6,24,1,9,0,1,0
S01006521,One person household,35,35,25,8,0,2,0,0,0,0,0
S01006521,One family household: Total,201,190,116,49,6,19,1,9,0,1,0
S01006521,One family household: All aged 65 and over,18,18,14,3,0,1,0,0,0,0,0
S01006521,One family household: Couple family,168,157,91,42,6,18,1,9,0,1,0
S01006521,One family household: Lone parent,15,15,11,4,0,0,0,0,0,0,0
S01006521,Other household types,7,7,2,2,0,3,0,0,0,0,0
S01006522,All households,218,210,149,51,2,8,1,5,1,0,1
S01006522,One person household,40,40,33,7,0,0,0,0,0,0,0
S01006522,One family household: Total,173,167,113,44,2,8,0,5,0,0,1
S01006522,One family household: All aged 65 and over,26,26,20,5,0,1,0,0,0,0,0
S01006522,One family household: Couple family,139,134,89,36,2,7,0,4,0,0,1
S01006522,One family household: Lone parent,8,7,4,3,0,0,0,1,0,0,0
S01006522,Other household types,5,3,3,0,0,0,1,0,1,0,0
S01006523,All households,427,407,304,78,7,18,5,12,2,0,1
S01006523,One person household,156,153,122,23,4,4,1,2,0,0,0
S01006523,One family household: Total,253,238,169,53,3,13,4,9,1,0,1
S01006523,One family household: All aged 65 and over,43,43,35,7,0,1,0,0,0,0,0
S01006523,One family household: Couple family,185,173,119,41,3,10,3,8,0,0,1
S01006523,One family household: Lone parent,25,22,15,5,0,2,1,1,1,0,0
S01006523,Other household types,18,16,13,2,0,1,0,1,1,0,0
S01006524,All households,314,301,211,57,3,30,2,5,3,2,1
S01006524,One person household,111,108,85,19,0,4,0,2,0,0,1
S01006524,One family household: Total,192,183,121,37,3,22,2,2,3,2,0
S01006524,One family household: All aged 65 and over,38,38,33,4,1,0,0,0,0,0,0
S01006524,One family household: Couple family,134,127,75,31,2,19,2,1,3,1,0
S01006524,One family household: Lone parent,20,18,13,2,0,3,0,1,0,1,0
S01006524,Other household types,11,10,5,1,0,4,0,1,0,0,0
S01006525,All households,339,314,239,50,0,25,1,21,2,0,1
S01006525,One person household,93,89,73,12,0,4,1,2,0,0,1
S01006525,One family household: Total,235,216,159,37,0,20,0,17,2,0,0
S01006525,One family household: All aged 65 and over,57,57,48,8,0,1,0,0,0,0,0
S01006525,One family household: Couple family,158,143,98,27,0,18,0,14,1,0,0
S01006525,One family household: Lone parent,20,16,13,2,0,1,0,3,1,0,0
S01006525,Other household types,11,9,7,1,0,1,0,2,0,0,0
S01006526,All households,439,417,377,21,6,13,0,9,9,1,3
S01006526,One person household,169,167,161,2,4,0,0,0,1,0,1
S01006526,One family household: Total,213,202,182,12,1,7,0,3,7,0,1
S01006526,One family household: All aged 65 and over,31,31,31,0,0,0,0,0,0,0,0
S01006526,One family household: Couple family,129,118,103,8,1,6,0,3,7,0,1
S01006526,One family household: Lone parent,53,53,48,4,0,1,0,0,0,0,0
S01006526,Other household types,57,48,34,7,1,6,0,6,1,1,1
S01006527,All households,286,273,243,18,4,8,1,4,8,0,0
S01006527,One person household,87,85,81,4,0,0,0,0,2,0,0
S01006527,One family household: Total,170,161,141,12,1,7,1,3,5,0,0
S01006527,One family household: All aged 65 and over,14,14,12,2,0,0,0,0,0,0,0
S01006527,One family household: Couple family,114,107,91,10,1,5,1,1,5,0,0
S01006527,One family household: Lone parent,42,40,38,0,0,2,0,2,0,0,0
S01006527,Other household types,29,27,21,2,3,1,0,1,1,0,0
S01006528,All households,433,386,339,21,7,19,1,22,20,1,3
S01006528,One person household,139,132,122,4,2,4,0,5,2,0,0
S01006528,One family household: Total,236,212,186,12,3,11,1,9,10,1,3
S01006528,One family household: All aged 65 and over,36,36,36,0,0,0,0,0,0,0,0
S01006528,One family household: Couple family,152,128,104,10,3,11,1,9,10,1,3
S01006528,One family household: Lone parent,48,48,46,2,0,0,0,0,0,0,0
S01006528,Other household types,58,42,31,5,2,4,0,8,8,0,0
S01006529,All households,496,448,376,37,11,24,0,20,23,0,5
S01006529,One person household,256,249,209,22,4,14,0,1,4,0,2
S01006529,One family household: Total,180,152,131,12,2,7,0,12,13,0,3
S01006529,One family household: All aged 65 and over,23,23,21,1,0,1,0,0,0,0,0
S01006529,One family household: Couple family,126,99,81,11,1,6,0,12,13,0,2
